trajectory_id,regime,cross_sign,termination_reason,corrected_precursor_s,t_8_to_16_s,t_12_to_16_s,classification,max_alpha_deg,gamma_at_cross_deg,max_gamma_pre_cross_deg,split,crossing_time,ml_warned,ml_credited_lead_time_s,ml_row_population_available
traj_02169,gradual_approach_v3,1.0,completed_normally,5.140000000000001,5.120000000000001,0.8399999999999999,gradual_monotonic_low_gamma,21.61568180836138,12.949234740073765,17.878520403027178,test,10.9,True,5.0,True
traj_02187,gradual_approach_v3,1.0,completed_normally,5.160000000000001,5.14,0.8299999999999992,gradual_monotonic_low_gamma,20.13806020127195,13.160809809044904,13.346286530320416,test,8.370000000000001,True,5.0,True
traj_02224,gradual_approach_v3,1.0,completed_normally,4.659999999999999,4.64,0.5199999999999996,gradual_monotonic_low_gamma,29.794332141487793,17.69419476088987,21.38804188370296,test,10.03,True,4.869999999999999,True
traj_02238,gradual_approach_v3,1.0,completed_normally,4.459999999999999,4.4399999999999995,0.4800000000000004,gradual_monotonic_low_gamma,28.9710364414227,19.145935491263614,21.693742718118255,test,9.86,True,4.669999999999999,True
traj_02538,gradual_approach_v3,1.0,completed_normally,1.6199999999999992,1.5999999999999996,0.7200000000000006,gradual_monotonic_low_gamma,19.604930106347812,17.13576355570805,17.240483841508947,test,10.5,True,5.0,True
traj_02575,gradual_approach_v3,1.0,completed_normally,4.6899999999999995,4.67,0.7699999999999996,gradual_monotonic_low_gamma,18.752263339824907,14.71670563220815,15.35796285874903,test,10.19,True,4.859999999999999,True
traj_02718,gradual_approach_v3,1.0,completed_normally,,,0.8700000000000001,gradual_monotonic_low_gamma,26.04094598255106,10.379222363301883,10.379222363301883,test,6.3,True,1.8999999999999995,True
traj_02740,gradual_approach_v3,1.0,completed_normally,4.91,4.890000000000001,0.7300000000000004,gradual_monotonic_low_gamma,25.72390503417918,12.543862143379323,14.27299013935818,test,6.38,True,5.0,True
traj_02891,gradual_approach_v3,1.0,completed_normally,1.129999999999999,1.1099999999999994,0.5299999999999994,gradual_monotonic_low_gamma,17.186636887029113,27.547786411950742,32.27994342272615,test,10.700000000000001,True,4.830000000000001,True
traj_02907,gradual_approach_v3,1.0,completed_normally,,,1.15,gradual_monotonic_low_gamma,28.79278396053685,13.058315303467054,13.058315303467054,test,3.58,True,0.8799999999999999,True
traj_03007,gradual_approach_v3,1.0,completed_normally,,,1.1000000000000003,gradual_monotonic_low_gamma,27.758039655593453,9.14774415218324,9.14774415218324,test,7.05,True,5.0,True
traj_00018,stall,1.0,completed_normally,0.2299999999999995,0.2199999999999997,0.1200000000000001,gradual_monotonic_low_gamma,59.45068100829617,6.445332888478178,6.445332888478178,test,5.93,True,0.5,True
traj_00092,stall,1.0,completed_normally,0.2800000000000002,0.2600000000000007,0.1300000000000007,gradual_monotonic_low_gamma,51.52336979548559,4.640230717403434,4.640230717403434,test,6.41,True,0.5,True
traj_00192,stall,-1.0,validity_envelope_gamma_exceeded,0.2600000000000002,0.25,0.1399999999999996,gradual_monotonic_low_gamma,35.091606374574425,-12.868421310264614,12.868421310264614,test,,False,,False
