trajectory_id,generation_mode,random_seed,initial_airspeed,initial_altitude,initial_alpha,trim_throttle,trim_elevator,maximum_alpha,minimum_alpha,minimum_airspeed,maximum_airspeed,maximum_abs_gamma,whether_stall_occurred,time_of_first_stall,whether_validity_envelope_was_exceeded,termination_reason,n_steps,duration_actual_s,n_sanity_issues,sanity_issues,candidate
traj_0026,near_boundary,20260818,39.04246318332347,953.4220724499085,0.10203026708915988,0.32085082321252956,0.03188445846536246,0.7567044771844005,0.06818275111334673,25.685506204574658,51.15714066594417,0.4523820101358248,True,7.83,False,completed_normally,2001,20.0,0,,v03_a_gentle_long_rise
traj_0027,near_boundary,20260818,34.59842814339337,923.7449808916225,0.1380163866620155,0.3289578148942572,0.043130120831879844,0.1380163866620155,-0.16945552454628754,34.598428143390386,42.75915924243651,0.7857097186895233,False,,True,validity_envelope_gamma_exceeded,609,6.08,0,,v03_a_gentle_long_rise
traj_0028,near_boundary,20260818,72.41104615567055,1090.1756600711878,0.004239646845491666,0.6063472709823783,0.0013248896392161456,0.16626019301110084,0.004239646845491666,62.53363459301742,72.41104615567703,0.7873698796626668,False,,True,validity_envelope_gamma_exceeded,777,7.76,0,,v03_a_gentle_long_rise
traj_0029,near_boundary,20260818,42.90704028478576,809.8270081240082,0.07878653028026084,0.32755067713993263,0.02462079071258151,0.07878653028037803,-0.17693824132868397,42.90704028478576,50.90525807909843,0.7868742136486806,False,,True,validity_envelope_gamma_exceeded,595,5.94,0,,v03_a_gentle_long_rise
traj_0000,near_boundary,20260819,70.21241822686191,1125.5159193344286,0.006842036875031615,0.5757467516436143,0.0021381365234473793,0.1407837037765548,0.006842036874882543,57.91631847914235,70.21241822686191,0.7859016257486661,False,,True,validity_envelope_gamma_exceeded,658,6.57,0,,v03_b_gentle_longer_rise_lower_mag
traj_0001,near_boundary,20260819,73.79265259433393,1987.6749436800847,0.002720891960754667,0.6262377771452455,0.0008502787377358334,0.002720891960754667,-0.1379822150289426,73.79265259433393,81.22138818406943,0.7876595997067051,False,,True,validity_envelope_gamma_exceeded,597,5.96,0,,v03_b_gentle_longer_rise_lower_mag
traj_0002,near_boundary,20260819,43.807656846168086,869.7060837798562,0.07418940295202442,0.3305773934680765,0.02318418842250763,0.07474445344419853,0.07372905724764972,43.611227232080516,43.978057792117525,0.004143636601896854,False,,False,completed_normally,2001,20.0,0,,v03_b_gentle_longer_rise_lower_mag
traj_0003,near_boundary,20260819,71.33067568725565,1244.3312039243149,0.005488648788783277,0.5911476611215956,0.001715202746494774,0.1472311469326777,0.00548864878874901,59.379643264674755,71.33067568725565,0.7882486256122545,False,,True,validity_envelope_gamma_exceeded,933,9.32,0,,v03_b_gentle_longer_rise_lower_mag
traj_0004,near_boundary,20260819,71.96293930195078,1527.2814205960801,0.004750938954303514,0.6000049358076136,0.0014846684232198482,0.004750938954448918,-0.13507767877995558,71.96293930195078,79.70627807044526,0.7872755402259398,False,,True,validity_envelope_gamma_exceeded,995,9.94,0,,v03_b_gentle_longer_rise_lower_mag
traj_0005,near_boundary,20260819,70.57165096314408,1819.0686043424448,0.006400319624045104,0.5806571360916615,0.0020000998825140948,0.006400319624222282,-0.13142676760880778,70.57165096314408,78.8816745161476,0.787194870794438,False,,True,validity_envelope_gamma_exceeded,669,6.68,0,,v03_b_gentle_longer_rise_lower_mag
traj_0006,near_boundary,20260819,59.77384483948432,1104.6185493305736,0.023312795407093197,0.4492570798863421,0.0072852485647166235,0.023312795407093197,-0.13777292255796803,59.773844839484,68.21161141796053,0.7890061792195865,False,,True,validity_envelope_gamma_exceeded,505,5.04,0,,v03_b_gentle_longer_rise_lower_mag
traj_0007,near_boundary,20260819,67.78703753623353,890.1335558714578,0.010008446083030788,0.5435255879517623,0.003127639400947121,0.010008446083118445,-0.13796022706528843,67.78703753623353,75.60763459673599,0.789291740628446,False,,True,validity_envelope_gamma_exceeded,821,8.2,0,,v03_b_gentle_longer_rise_lower_mag
traj_0008,near_boundary,20260819,46.953931475251885,614.069948497429,0.060075539957819904,0.3448491920849594,0.01877360623681872,0.3402205461788881,0.06007553995774483,34.6533494796101,46.953931475251885,0.7878502901243893,True,8.68,True,validity_envelope_gamma_exceeded,925,9.24,0,,v03_b_gentle_longer_rise_lower_mag
traj_0009,near_boundary,20260819,46.055507613269654,1679.2929512664923,0.0638229575181351,0.3402206589939647,0.01994467422441722,0.0638229575181351,-0.11689517611481681,46.055507613265064,56.39155105133155,0.7868111816111817,False,,True,validity_envelope_gamma_exceeded,690,6.890000000000001,0,,v03_b_gentle_longer_rise_lower_mag
traj_0010,near_boundary,20260819,37.69199354129283,1321.243878558006,0.11175592082037702,0.32127866820125883,0.03492372525636782,0.11175592082046436,-0.10670583492520047,37.69199354129283,50.170178360146785,0.7881035533036016,False,,True,validity_envelope_gamma_exceeded,1088,10.870000000000001,0,,v03_b_gentle_longer_rise_lower_mag
traj_0011,near_boundary,20260819,74.55789200487048,1265.0398623259775,0.0019154544399174306,0.6374709120986319,0.0005985795124741971,0.002101260255304342,0.001860171145208807,74.29291860340795,74.63979832196696,0.0024547863887170317,False,,False,completed_normally,2001,20.0,0,,v03_b_gentle_longer_rise_lower_mag
traj_0012,near_boundary,20260819,57.65257872245815,1878.1549929070493,0.027780877882082906,0.4276841691419679,0.008681524338150908,0.2117120136356443,0.027780877882082906,46.186277655370006,57.65257872245841,0.7855376731199621,False,,True,validity_envelope_gamma_exceeded,509,5.08,0,,v03_b_gentle_longer_rise_lower_mag
traj_0013,near_boundary,20260819,54.55025831288967,618.2764333015507,0.03526116895540217,0.39895540828576487,0.011019115298563179,0.03526116895540217,-0.14667635301084092,54.55025831287724,63.16660632698266,0.7873550007357736,False,,True,validity_envelope_gamma_exceeded,779,7.78,0,,v03_b_gentle_longer_rise_lower_mag
traj_0014,near_boundary,20260819,61.36098297641536,1450.3207526392364,0.020264320836925295,0.4663652855477898,0.006332600261539155,0.18217804656650483,0.020264320836875325,49.122642686311714,61.36098297641536,0.7886560647208668,False,,True,validity_envelope_gamma_exceeded,753,7.5200000000000005,0,,v03_b_gentle_longer_rise_lower_mag
traj_0015,near_boundary,20260819,41.523816668917675,1809.3818528494014,0.08640765453069449,0.3239219256286425,0.027002392040842028,0.08640765453069449,-0.13710111375588663,41.52381666891218,51.4364360015095,0.7872899940767489,False,,True,validity_envelope_gamma_exceeded,736,7.3500000000000005,0,,v03_b_gentle_longer_rise_lower_mag
traj_0016,near_boundary,20260819,38.34326768683476,974.5046259140258,0.10694788146797016,0.3208725843346894,0.033421212958740676,0.10694788146806505,-0.11392158515218176,38.34326768683476,50.16253249997947,0.7861549960081103,False,,True,validity_envelope_gamma_exceeded,753,7.5200000000000005,0,,v03_b_gentle_longer_rise_lower_mag
traj_0017,near_boundary,20260819,64.6614963239798,1809.9758293652276,0.014619845325036244,0.5044626048499568,0.004568701664073826,0.014619845325057789,-0.12605958917705473,64.6614963239798,73.18137869765778,0.7858509677380339,False,,True,validity_envelope_gamma_exceeded,864,8.63,0,,v03_b_gentle_longer_rise_lower_mag
traj_0018,near_boundary,20260819,55.52395730239419,1973.6349569576003,0.03278030030433013,0.4075971330872905,0.010243843845103167,0.03301691154852365,0.03263531476250404,55.36860990555582,55.62261399271134,0.002298119151795594,False,,False,completed_normally,2001,20.0,0,,v03_b_gentle_longer_rise_lower_mag
traj_0019,near_boundary,20260819,54.04944106083035,684.5234773156642,0.036588743108820834,0.3946491253911044,0.011433982221506512,0.2229466518756641,0.036588743108820834,42.08546245539168,54.04944106084197,0.7873343221242836,False,,True,validity_envelope_gamma_exceeded,955,9.540000000000001,0,,v03_b_gentle_longer_rise_lower_mag
traj_0020,near_boundary,20260819,45.39051283322738,1642.259631749948,0.06673601805127971,0.33707145774907393,0.02085500564102491,0.7388353925830746,0.05076838180222243,19.141180636703613,49.7674925817895,0.7390861057592591,True,8.97,False,completed_normally,2001,20.0,0,,v03_b_gentle_longer_rise_lower_mag
traj_0021,near_boundary,20260819,50.49498313794918,1761.9722644594606,0.04714897877122695,0.36694761328340264,0.014734055866008422,0.27465919579894227,0.04714897877121639,38.43967026053084,50.49498313794918,0.7875311616744439,False,,True,validity_envelope_gamma_exceeded,886,8.85,0,,v03_b_gentle_longer_rise_lower_mag
traj_0022,near_boundary,20260819,39.58014079650661,926.6554439034163,0.09841145746927712,0.32111200777410087,0.030753580459149103,0.09841145746927712,-0.1143942933085974,39.58014079648693,50.35999454709882,0.7866781025137152,False,,True,validity_envelope_gamma_exceeded,1000,9.99,0,,v03_b_gentle_longer_rise_lower_mag
