trajectory_id,generation_mode,random_seed,initial_airspeed,initial_altitude,initial_alpha,trim_throttle,trim_elevator,maximum_alpha,minimum_alpha,minimum_airspeed,maximum_airspeed,maximum_abs_gamma,whether_stall_occurred,time_of_first_stall,whether_validity_envelope_was_exceeded,termination_reason,n_steps,duration_actual_s,n_sanity_issues,sanity_issues
traj_0044,gradual_B_moderate_margin,20260817,51.56523099942346,1515.8773310625986,0.04374364197787506,0.37474186053759156,0.013669888118085956,0.2034613825792625,0.04374364197772693,38.63681995174103,51.56523099942346,0.7854112712074344,False,,True,validity_envelope_gamma_exceeded,802,8.01,0,
traj_0045,gradual_E_slow_rise_slow_recovery,20260817,38.22584725344615,1250.287460470529,0.10779814077959282,0.32091771343619,0.03368691899362276,0.5446602313185722,0.08966375589667569,22.107360856200465,42.74093520463286,0.47059339250907856,True,9.34,False,completed_normally,2001,20.0,0,
traj_0046,gradual_C_high_margin,20260817,71.86996054110313,1909.427069491481,0.004858216371414459,0.5986956783617398,0.0015181926160670186,0.004858216371500361,-0.15764169912790083,71.86996054110313,77.78567088903327,0.7887271451318041,False,,True,validity_envelope_gamma_exceeded,662,6.61,0,
traj_0047,gradual_E_slow_rise_slow_recovery,20260817,36.37135139845605,1891.289817641308,0.12223402014437845,0.32332936178781635,0.038198131295118266,0.6117856644939674,0.10120911420482015,25.456347887586,41.850021102827874,0.3756087694799763,True,9.01,False,completed_normally,2001,20.0,0,
traj_0048,gradual_E_slow_rise_slow_recovery,20260817,60.158996253037124,1380.0722461014527,0.02255111055828635,0.4533341223054355,0.007047222049464484,0.1541655500802378,0.022551110558231946,47.62093758997803,60.158996253037124,0.7858566137183918,False,,True,validity_envelope_gamma_exceeded,513,5.12,0,
traj_0049,gradual_A_tight_margin,20260817,50.9937228511582,1056.846558924681,0.04553601817077502,0.3705189027224968,0.014230005678367193,0.17988103226711183,0.04553601817077502,33.05988646160891,50.99372285115917,0.7854718917619781,False,,True,validity_envelope_gamma_exceeded,789,7.88,0,
traj_0050,gradual_C_high_margin,20260817,51.28559726194491,1483.5764183090307,0.04461332032297177,0.37265835670533437,0.013941662600928679,0.04461332032297177,-0.1380465245528243,51.28559726192565,59.24225010023797,0.7858078804401595,False,,True,validity_envelope_gamma_exceeded,822,8.21,0,
traj_0051,gradual_D_two_stage,20260817,46.701992413280024,1248.4289554952193,0.061105343285482006,0.3435088528176519,0.019095419776713127,0.1980528943824098,-0.03230548130404398,18.052812240327434,46.70199241328254,0.7869624091451485,False,,True,validity_envelope_gamma_exceeded,1469,14.68,0,
traj_0052,gradual_C_high_margin,20260817,31.897382835170593,577.3791456899158,0.1666093319435962,0.3451113211259541,0.05206541623237381,0.7940625912224202,0.12492823229641653,29.55171873899133,40.9761058463079,0.33895114066884957,True,7.4,False,completed_normally,2001,20.0,0,
traj_0053,gradual_C_high_margin,20260817,47.36436008277736,1779.3038538521007,0.05843184855862013,0.34710194054344,0.01825995267456879,0.05843184855863935,-0.14856576799206833,47.36436008277736,55.05800582192047,0.787647991693711,False,,True,validity_envelope_gamma_exceeded,488,4.87,0,
traj_0054,gradual_E_slow_rise_slow_recovery,20260817,45.274829092697814,1759.647571935019,0.0672554399760718,0.3365483680724667,0.02101732499252244,0.0672554399760718,-0.12656664656143335,45.27482909269717,55.18714371453422,0.7857915941729487,False,,True,validity_envelope_gamma_exceeded,597,5.96,0,
traj_0055,gradual_E_slow_rise_slow_recovery,20260817,53.99176400955109,818.0024072145267,0.03674396590832822,0.3941593304789162,0.011482489346352568,0.03674396590841728,-0.11318621000399964,53.99176400955109,63.311536127447404,0.7858169422593257,False,,True,validity_envelope_gamma_exceeded,751,7.5,0,
traj_0056,gradual_D_two_stage,20260817,73.67204297389547,1725.176426223326,0.002850110696623843,0.6244813228369477,0.000890659592694951,0.07120792737009418,-0.07378884941681424,45.776120711191886,73.67204297389547,0.6591006875395589,False,,False,completed_normally,2001,20.0,0,
