lead_time_s,feature,n_pos,n_neg,pos_mean,pos_std,neg_mean,neg_std,cohens_d,auc
4.0,dV_dt,103,808,-0.0286963236675078,0.3634741944449045,0.15556823134738018,1.4324522371084456,-0.1358823172808701,0.5562938575410938
3.0,alpha,136,808,0.07033888615359135,0.052687324288966865,0.048753184372794106,0.06126985530020748,0.35872874639910174,0.6084649825276645
3.0,stall_margin,136,808,0.2101012117656576,0.052687324288966865,0.23168691354645485,0.06126985530020748,-0.35872874639910174,0.6084649825276645
3.0,V,136,808,48.9477418701219,12.601082438239356,54.362242720169185,15.59143899825195,-0.35591107075089323,0.5987095952242283
3.0,gamma,136,808,0.0028903918356022506,0.033337262650215124,-0.023442933102943382,0.16065781833918522,0.176341902204936,0.5796720297029703
3.0,pitch_rate,136,808,7.325397803317475e-05,0.0006924912123363122,-0.015113037497737217,0.1355161804433781,0.12099833530656902,0.5061699184624345
3.0,elevator,136,808,0.021983949142213716,0.016467961724319705,0.011612864611130867,0.04164034797667176,0.26545261661216896,0.6094751019219569
3.0,throttle,136,808,0.3958997444959451,0.09515613250317281,0.4250181469427201,0.09733065422306701,-0.2998085569141508,0.5976357746068724
3.0,dalpha_dt,136,808,0.00016817090725458573,0.0021119992818438267,-0.005048637459790759,0.05730358082081931,0.09828635983370422,0.558550524170064
3.0,dV_dt,136,808,-0.025507014187563973,0.31722262058182854,0.15556823134738018,1.4324522371084456,-0.13592946254355134,0.5624954499126382
2.0,alpha,175,808,0.07174206608031661,0.05369269297456559,0.048753184372794106,0.06126985530020748,0.3828155819941185,0.6110042432814711
2.0,stall_margin,175,808,0.20869803183893235,0.05369269297456559,0.23168691354645485,0.06126985530020748,-0.3828155819941185,0.6110042432814711
2.0,V,175,808,48.812990589895655,12.976461302969858,54.362242720169185,15.59143899825195,-0.3656985439033646,0.6007779349363508
2.0,gamma,175,808,0.0020404434415753864,0.02628607092350029,-0.023442933102943382,0.16065781833918522,0.17427237787305128,0.5760608203677511
2.0,pitch_rate,175,808,-0.00017952539100560716,0.0027932798318946136,-0.015113037497737217,0.1355161804433781,0.1214170421142501,0.5018387553041019
2.0,elevator,175,808,0.02237495662298527,0.016668933310515683,0.011612864611130867,0.04164034797667176,0.2799642247653439,0.6113932107496465
2.0,throttle,175,808,0.3965183408475074,0.09633166641239939,0.4250181469427201,0.09733065422306701,-0.2930494650233504,0.5997171145685998
2.0,dalpha_dt,174,808,0.00016921246336299396,0.002377811752131296,-0.005048637459790759,0.05730358082081931,0.10026207271447174,0.5612161431660407
2.0,dV_dt,174,808,-0.018728835716136562,0.2517389159480212,0.15556823134738018,1.4324522371084456,-0.13356044290366256,0.5636380448389667
1.0,alpha,192,808,0.07065280510258652,0.05471408986687284,0.048753184372794106,0.06126985530020748,0.3642237626781826,0.6081051464521452
1.0,stall_margin,192,808,0.20978729281666245,0.05471408986687284,0.23168691354645485,0.06126985530020748,-0.36422376267818235,0.6081051464521452
1.0,V,192,808,49.0837241952243,13.151606801482368,54.362242720169185,15.59143899825195,-0.3479882374227392,0.5946975556930694
1.0,gamma,192,808,0.0015735675012386711,0.019732121186027168,-0.023442933102943382,0.16065781833918522,0.17274572255314344,0.573819100660066
1.0,pitch_rate,192,808,-0.004683683915744103,0.15233895353912838,-0.015113037497737217,0.1355161804433781,0.07500790418760102,0.5112933168316831
1.0,elevator,192,808,0.017882828335606792,0.0610021589604723,0.011612864611130867,0.04164034797667176,0.13618363909383088,0.5870526505775578
1.0,throttle,192,808,0.3988284452915039,0.09914772906904541,0.4250181469427201,0.09733065422306701,-0.26784317947222,0.5932794451320133
1.0,dalpha_dt,192,808,-0.004731492708247488,0.10443472449581721,-0.005048637459790759,0.05730358082081931,0.004598323173493589,0.5296739634900991
1.0,dV_dt,192,808,-0.025015468731513318,0.2649269803743354,0.15556823134738018,1.4324522371084456,-0.13954046183286095,0.5671249742161717
0.5,alpha,192,808,0.057932299689192314,0.11572636820870999,0.048753184372794106,0.06126985530020748,0.12248800463267281,0.6048048164191421
