trajectory_id,regime,offset_before_crossing_s,t_cross,actual_t,crossing_sign,termination_reason,alpha,V,gamma,pitch_rate,elevator,stall_margin
traj_0239,stall,0.0,6.22,6.22,-1.0,validity_envelope_gamma_exceeded,0.28158393213493654,40.807373666473694,-0.3152124636921783,1.0299192820820253,0.2685938821641948,-0.0011438342156875336
traj_0243,near_boundary,3.0,3.59,0.59,1.0,completed_normally,0.08195671322047592,42.31593713574944,6.785446560640643e-15,6.542227776955458e-15,0.025611472881400272,0.19848338469877308
traj_0243,near_boundary,2.0,3.59,1.59,1.0,completed_normally,0.08195671322047593,42.31593713574944,1.4851515261511646e-14,8.275104193173925e-15,0.025611472881400272,0.19848338469877308
traj_0243,near_boundary,1.0,3.59,2.59,1.0,completed_normally,0.08428609290577929,42.31537340057838,0.00019648979919862795,0.04691795076804753,0.05963134669665225,0.19615400501346972
traj_0243,near_boundary,0.5,3.59,3.09,1.0,completed_normally,0.18763664649168169,42.118477522508826,0.04245422204090923,0.5069180517597938,0.1660317245971496,0.09280345142756732
traj_0243,near_boundary,0.0,3.59,3.59,1.0,completed_normally,0.28047200735762434,40.89299487099941,0.1988137916923092,0.4368705419695261,0.15071919893723595,-3.1909438375332666e-05
traj_0245,stall,2.0,2.84,0.84,-1.0,validity_envelope_gamma_exceeded,-0.005856442991733181,71.02155607380236,-9.588745880540885e-14,8.483492277307951e-14,-0.0018301384348998976,0.28629654091098217
traj_0245,stall,1.0,2.84,1.84,-1.0,validity_envelope_gamma_exceeded,-0.00581519699721217,71.02155839901442,-1.467702728544827e-06,0.0031153616751700094,0.005504892359377966,0.2862552949164612
traj_0245,stall,0.5,2.84,2.34,-1.0,validity_envelope_gamma_exceeded,0.12085475911467002,71.09689304754168,-0.06289652121943222,0.9543580026943779,0.29609707097244703,0.15958533880457898
traj_0245,stall,0.0,2.84,2.84,-1.0,validity_envelope_gamma_exceeded,0.2810726576850274,70.95473795952567,-0.4690223841692681,1.1514619867031595,0.29720913966833196,-0.0006325597657784177
traj_0247,stall,2.0,2.0,0.0,1.0,validity_envelope_gamma_exceeded,0.009315165318547914,68.29678132054826,0.0,0.0,0.002910989162046223,0.2711249326007011
traj_0247,stall,1.0,2.0,1.0,1.0,validity_envelope_gamma_exceeded,0.009323686953382372,68.27643306516507,-8.829535252757679e-06,-4.250365903428579e-06,0.002910989162046223,0.27111641096586664
traj_0247,stall,0.5,2.0,1.5,1.0,validity_envelope_gamma_exceeded,0.05064219916346947,68.09783549000863,0.011057004681267947,0.4692553713063254,0.2087868718231108,0.22979789875577955
traj_0247,stall,0.0,2.0,2.0,1.0,validity_envelope_gamma_exceeded,0.28375760315476234,66.18635120947617,0.2621084691146262,1.1818500712874287,0.30786498144361285,-0.0033175052355133294
traj_0249,stall,5.0,5.97,0.97,1.0,completed_normally,0.05852957798974046,47.33966517529736,2.839545644821945e-13,2.3526997096441263e-13,0.018290493121839436,0.22191051992950855
traj_0249,stall,4.0,5.97,1.97,1.0,completed_normally,0.05852957798975116,47.33966517529424,5.078324975279105e-13,2.2818555576553456e-13,0.018290493121839436,0.22191051992949784
traj_0249,stall,3.0,5.97,2.97,1.0,completed_normally,0.05852957798976203,47.33966517528908,7.171985123584553e-13,2.1128116348267923e-13,0.018290493121839436,0.221910519929487
traj_0249,stall,2.0,5.97,3.97,1.0,completed_normally,0.058529577989777135,47.339665175282065,9.020416070720315e-13,1.8755379149158176e-13,0.018290493121839436,0.22191051992947186
traj_0249,stall,1.0,5.97,4.97,1.0,completed_normally,0.058529577989795745,47.33966517527357,1.0565084931395747e-12,1.5770399253674986e-13,0.018290493121839436,0.22191051992945326
traj_0249,stall,0.5,5.97,5.47,1.0,completed_normally,0.06814764466038342,47.33659912531104,0.0011216296683759256,0.15899087140219303,0.11559688940918302,0.2122924532588656
traj_0249,stall,0.0,5.97,5.97,1.0,completed_normally,0.2830947567595043,46.719128096111255,0.11228445350132525,0.9917145785323361,0.2838217790699857,-0.002654658840255286
traj_0250,stall,1.0,1.9,0.9,1.0,validity_envelope_gamma_exceeded,0.006428675783971288,70.54842577822785,-9.721289336379446e-14,-8.284736609093717e-14,0.00200896118247496,0.27401142213527774
traj_0250,stall,0.5,1.9,1.4000000000000001,1.0,validity_envelope_gamma_exceeded,0.06799804837455632,70.4916000971896,0.01966922744879536,0.6321676898811871,0.25206888233346775,0.2124420495446927
traj_0250,stall,0.0,1.9,1.9000000000000001,1.0,validity_envelope_gamma_exceeded,0.2822069947994919,68.33996025053192,0.3135509253399084,1.1215709815264372,0.291327851048764,-0.0017668968802428964
traj_0253,stall,5.0,5.19,0.19,-1.0,validity_envelope_gamma_exceeded,-0.026145101337152032,58.40311208397536,-1.3494617982624947e-15,7.931536966336872e-16,-0.008170344167859606,0.30658519925640104
traj_0253,stall,4.0,5.19,1.19,-1.0,validity_envelope_gamma_exceeded,-0.02614510133715283,58.40311208397536,-4.944724602435805e-15,3.4836684625058896e-15,-0.008170344167859606,0.3065851992564018
traj_0253,stall,3.0,5.19,2.19,-1.0,validity_envelope_gamma_exceeded,-0.026169707876412995,58.37253195599801,-2.568023010254244e-05,1.3343347550715018e-05,-0.008170344167859606,0.306609805795662
traj_0253,stall,2.0,5.19,3.19,-1.0,validity_envelope_gamma_exceeded,-0.026662642188054256,57.98391782568425,-0.0007838120857276805,0.0006623511209207898,-0.008170344167859606,0.30710274010730326
traj_0253,stall,1.0,5.19,4.19,-1.0,validity_envelope_gamma_exceeded,-0.01385962114981613,57.59019049918527,-0.004891286793358708,0.18150091514015385,0.08523627605012385,0.29429971906906516
traj_0253,stall,0.5,5.19,4.69,-1.0,validity_envelope_gamma_exceeded,0.16688414571541174,57.705204714078754,-0.12778884296966156,0.9749094668209677,0.26226294437915476,0.11355595220383727
traj_0253,stall,0.0,5.19,5.19,-1.0,validity_envelope_gamma_exceeded,0.280453056196707,58.20041358036838,-0.5152892882893555,0.9697007310458702,0.26226294437915476,-1.2958277458008371e-05
traj_0258,near_boundary,5.0,18.01,13.01,1.0,completed_normally,0.14983594343302742,35.5348069803421,0.34778887948427345,0.06593614052535135,0.05835253697114588,0.1306041544862216
traj_0258,near_boundary,4.0,18.01,14.01,1.0,completed_normally,0.16562883530247718,31.988616785700994,0.3862917510222552,0.041325376115932205,0.05835253697114588,0.11481126261677183
traj_0258,near_boundary,3.0,18.01,15.01,1.0,completed_normally,0.18706634759487817,28.31021403031857,0.3902172975958357,0.0077349313596762346,0.05835253697114588,0.09337375032437084
traj_0258,near_boundary,2.0,18.01,16.01,1.0,completed_normally,0.21511903116148579,24.84937641718732,0.3486627264403125,-0.03661839194051642,0.05835253697114588,0.06532106675776322
traj_0258,near_boundary,1.0,18.01,17.01,1.0,completed_normally,0.24884621785106759,22.05918383921493,0.25171730862463587,-0.0911576863277554,0.05835253697114588,0.031593880068181424
traj_0258,near_boundary,0.5,18.01,17.51,1.0,completed_normally,0.2659468533651653,21.084727017396887,0.18181399199110568,-0.11994595320624245,0.05835253697114588,0.014493244554083684
traj_0258,near_boundary,0.0,18.01,18.01,1.0,completed_normally,0.28066881468176047,20.480362184211504,0.10033769771913753,-0.1463438767287174,0.05835253697114588,-0.00022871676251146056
traj_0260,near_boundary,3.0,3.3000000000000003,0.3,1.0,completed_normally,0.10101363204048402,39.1914584449581,-1.00282170234604e-14,-7.796469335528828e-15,0.0315667600126484,0.17942646587876498
traj_0260,near_boundary,2.0,3.3000000000000003,1.3,1.0,completed_normally,0.1010136320404872,39.1914584449581,-3.0637867102671694e-14,-2.057628545139454e-14,0.0315667600126484,0.17942646587876182
traj_0260,near_boundary,1.0,3.3000000000000003,2.3000000000000003,1.0,completed_normally,0.10102839976939462,39.19145768976651,2.7007176367476473e-07,0.0012243943680884414,0.034758640162717895,0.1794116981498544
traj_0260,near_boundary,0.5,3.3000000000000003,2.8000000000000003,1.0,completed_normally,0.17219573240036848,39.10865669247489,0.019578409444411284,0.4343495108652598,0.16104949499209362,0.10824436551888053
traj_0260,near_boundary,0.0,3.3000000000000003,3.3000000000000003,1.0,completed_normally,0.28122883071068544,38.245268893765044,0.14174375035747672,0.39995061569637497,0.13730435640654956,-0.0007887327914364306
traj_0262,stall,1.0,1.87,0.87,1.0,completed_normally,0.009089766621201064,68.46497528931326,7.524586692267904e-15,6.544126243927793e-15,0.0028405520691266134,0.2713503312980479
traj_0262,stall,0.5,1.87,1.37,1.0,completed_normally,0.04576720140685468,68.43950254060289,0.009885139839915262,0.4247739804902565,0.19275504339920224,0.2346728965123943
traj_0262,stall,0.0,1.87,1.87,1.0,completed_normally,0.28168955217341546,66.81123224906993,0.2522641240076439,1.2314282957973441,0.3213153894279086,-0.0012494542541664488
traj_0270,stall,4.0,4.54,0.54,1.0,completed_normally,0.031275733009726775,56.14002106879284,7.846427417953932e-14,7.60026000918088e-14,0.009773666565558023,0.24916436490952223
traj_0270,stall,3.0,4.54,1.54,1.0,completed_normally,0.03127573300972838,56.140021068791896,1.7094699466454891e-13,9.647183412402582e-14,0.009773666565558023,0.24916436490952062
traj_0270,stall,2.0,4.54,2.54,1.0,completed_normally,0.03127573300973094,56.1400210687901,2.6274524531113967e-13,9.223792100480455e-14,0.009773666565558023,0.24916436490951807
traj_0270,stall,1.0,4.54,3.54,1.0,completed_normally,0.03127573300973459,56.14002106878749,3.486832011051122e-13,8.657083120693832e-14,0.009773666565558023,0.24916436490951444
traj_0270,stall,0.5,4.54,4.04,1.0,completed_normally,0.03583067211939478,56.13935216533352,0.00031221676545935593,0.143322235611248,0.15457359346220217,0.24460942579985423
traj_0270,stall,0.0,4.54,4.54,1.0,completed_normally,0.28330012231320767,55.21568655263321,0.1578029528182392,1.0668013958143074,0.2842647668183523,-0.00286002439395866
traj_0272,stall,3.0,3.35,0.35000000000000003,1.0,validity_envelope_gamma_exceeded,0.15626761921955543,32.80892762816959,-5.2816652484123407e-14,-4.399017077972135e-14,0.048833631006096515,0.12417247869969358
traj_0272,stall,2.0,3.35,1.35,1.0,validity_envelope_gamma_exceeded,0.15626761921956592,32.80892762817027,-1.4815008380145705e-13,-9.65450449086286e-14,0.048833631006096515,0.12417247869968309
traj_0272,stall,1.0,3.35,2.35,1.0,validity_envelope_gamma_exceeded,0.1562676192195577,32.808927628171816,-2.3094632964874236e-13,-8.449748409253665e-14,0.048833631006096515,0.12417247869969131
traj_0272,stall,0.5,3.35,2.85,1.0,validity_envelope_gamma_exceeded,0.15679394811207778,32.808852195357886,2.1856931303297012e-05,0.017153822442569605,0.0678273590342455,0.12364614980717123
traj_0272,stall,0.0,3.35,3.35,1.0,validity_envelope_gamma_exceeded,0.2848404123085385,32.646134904125276,0.031844474201915024,0.7311208277479079,0.28617107064465797,-0.004400314389289506
traj_0273,stall,5.0,5.61,0.61,1.0,completed_normally,0.08726942838445763,41.37525332039559,-1.0748335861713161e-14,-1.0328102690707073e-14,0.027271696370140604,0.1931706695347914
traj_0273,stall,4.0,5.61,1.61,1.0,completed_normally,0.08726942838445777,41.37525332039559,-2.3136438804795344e-14,-1.304567521886451e-14,0.027271696370140604,0.19317066953479123
traj_0273,stall,3.0,5.61,2.61,1.0,completed_normally,0.08726942838445775,41.37525332039559,-3.5605385226400546e-14,-1.3026358778214031e-14,0.027271696370140604,0.19317066953479126
traj_0273,stall,2.0,5.61,3.61,1.0,completed_normally,0.08726942838445664,41.37525332039604,-4.698642510960488e-14,-1.197884737072459e-14,0.027271696370140604,0.19317066953479237
traj_0273,stall,1.0,5.61,4.61,1.0,completed_normally,0.08727010926926648,41.37495919695688,-6.842997172870309e-07,-1.4116836756691133e-07,0.027271696370140604,0.19316998864998253
traj_0273,stall,0.5,5.61,5.11,1.0,completed_normally,0.09610825667812178,41.33853918499008,0.0009226572951129186,0.1272083535904172,0.09958732403317194,0.18433184124112723
traj_0273,stall,0.0,5.61,5.61,1.0,completed_normally,0.28099045361323705,40.791038352110064,0.07947694262793507,0.9234115643844757,0.3032549617164625,-0.0005503556939880361
traj_0274,stall,5.0,5.46,0.46,-1.0,validity_envelope_gamma_exceeded,-0.010308314407295304,67.57002669854074,-6.06568477169273e-14,5.788449759865334e-14,-0.003221348252264658,0.2907484123265443
traj_0274,stall,4.0,5.46,1.46,-1.0,validity_envelope_gamma_exceeded,-0.010308314407295115,67.57002669854148,-1.3800144274360094e-13,8.105714859946717e-14,-0.003221348252264658,0.29074841232654414
traj_0274,stall,3.0,5.46,2.46,-1.0,validity_envelope_gamma_exceeded,-0.010276135595935959,67.62025724391958,3.5949698142776247e-05,-2.6590715733608036e-05,-0.003221348252264658,0.29071623351518494
traj_0274,stall,2.0,5.46,3.46,-1.0,validity_envelope_gamma_exceeded,-0.010165863353505248,67.73983551132174,0.00025587651188443576,-0.00019913569607232494,-0.003221348252264658,0.29060596127275423
traj_0274,stall,1.0,5.46,4.46,-1.0,validity_envelope_gamma_exceeded,0.06665260785369659,67.92488126456098,-0.037994799567977675,0.5740670327773444,0.19393882651364433,0.21378749006555242
traj_0274,stall,0.5,5.46,4.96,-1.0,validity_envelope_gamma_exceeded,0.23488762490247628,68.15887472883122,-0.31436122655187715,1.0545855608001298,0.27376178732524464,0.04555247301677273
