trajectory_id,regime,termination_reason,t_cross,time_alpha8_to_cross_s,time_alpha12_to_cross_s,t_elev_peak_minus_t_cross_s,elevator_peak_rad,elevator_hold_ge80pct_after_cross_s,duration_actual_s
traj_0593,stall,validity_envelope_gamma_exceeded,5.83,0.47999999999999954,0.3200000000000003,-0.6399999999999997,0.26922362747964873,0.47000000000000003,6.29
traj_0612,stall,completed_normally,5.14,0.39999999999999947,0.1999999999999993,-0.11999999999999922,0.2237243742572121,9.1,20.0
traj_0614,stall,validity_envelope_gamma_exceeded,1.96,0.31999999999999984,0.18999999999999995,-0.48,0.3074258840273018,3.5,6.3100000000000005
traj_0620,stall,validity_envelope_gamma_exceeded,4.01,0.7599999999999998,0.5599999999999996,-0.8499999999999996,0.21915347844192917,0.44,4.44
traj_0627,stall,completed_normally,1.45,0.30999999999999983,0.17999999999999994,-0.3599999999999999,0.24516686407690086,9.05,20.0
traj_0635,stall,completed_normally,5.09,,0.1899999999999995,0.040000000000000036,0.24364796302095787,5.59,20.0
traj_0644,stall,completed_normally,4.12,0.2999999999999998,0.14000000000000012,0.13999999999999968,0.3403094140713686,4.32,20.0
traj_0669,near_boundary,completed_normally,5.8,,0.29000000000000004,0.020000000000000462,0.18738679470301572,0.32,20.0
traj_0672,stall,completed_normally,3.93,0.20999999999999996,0.10999999999999988,-0.22999999999999998,0.330619796031236,6.5600000000000005,20.0
traj_0675,near_boundary,completed_normally,6.41,0.5099999999999998,0.20999999999999996,-0.13999999999999968,0.20400546202723158,0.47000000000000003,20.0
traj_0712,stall,validity_envelope_gamma_exceeded,6.25,,0.1299999999999999,-0.07000000000000028,0.34456394723846145,4.7700000000000005,11.01
traj_0719,stall,completed_normally,2.6,,0.14000000000000012,0.040000000000000036,0.3526685236213005,2.96,20.0
traj_0733,stall,completed_normally,3.41,0.26000000000000023,0.14000000000000012,-0.20000000000000018,0.31610024907645656,2.33,20.0
traj_0735,stall,completed_normally,5.08,0.3200000000000003,0.1900000000000004,-0.22999999999999954,0.3185970374361298,8.16,20.0
traj_0736,stall,completed_normally,5.9,0.2600000000000007,0.1299999999999999,-0.14000000000000057,0.3016616685328103,4.64,20.0
traj_0740,stall,completed_normally,3.85,,0.16000000000000014,-0.16999999999999993,0.23585377613037523,7.3500000000000005,20.0
traj_0741,near_boundary,completed_normally,1.3900000000000001,0.3700000000000001,0.2100000000000002,-0.3400000000000001,0.21518525591591423,0.17,20.0
traj_0742,stall,completed_normally,6.0600000000000005,0.2400000000000002,0.1200000000000001,-0.20999999999999996,0.28891978354439324,6.54,20.0
traj_0749,stall,completed_normally,3.91,0.5100000000000002,0.18000000000000016,0.20000000000000018,0.2902425905935182,4.48,20.0
traj_0754,stall,completed_normally,5.2700000000000005,0.22000000000000064,0.10000000000000053,-0.1200000000000001,0.33994245741445717,2.61,20.0
traj_0757,stall,completed_normally,6.25,0.34999999999999964,0.16999999999999993,-0.019999999999999574,0.26329138129543056,2.69,20.0
traj_0775,stall,validity_envelope_gamma_exceeded,2.97,0.3500000000000001,0.16000000000000014,0.1599999999999997,0.3156534424671169,5.38,11.01
traj_0779,stall,completed_normally,5.1000000000000005,0.29000000000000004,0.14000000000000057,-0.05000000000000071,0.28666030783875857,3.37,20.0
traj_0799,stall,completed_normally,2.7600000000000002,0.3400000000000003,0.16000000000000014,-0.17000000000000037,0.2406976395406467,3.18,20.0
traj_0801,near_boundary,completed_normally,5.54,0.5499999999999998,0.33999999999999986,-0.4399999999999995,0.19565266666763415,0.0,20.0
traj_0809,stall,completed_normally,3.56,0.33999999999999986,0.18000000000000016,-0.08000000000000007,0.3058695126340122,4.14,20.0
traj_0811,stall,validity_envelope_gamma_exceeded,3.93,0.33000000000000007,0.18000000000000016,-0.3799999999999999,0.23253936120029672,5.4,10.95
traj_0812,near_boundary,completed_normally,5.64,0.5999999999999996,0.3099999999999996,-0.34999999999999964,0.16311815054635626,0.18,20.0
traj_0819,near_boundary,completed_normally,4.44,0.5400000000000005,0.25,-0.3200000000000003,0.1724605387139998,0.2,20.0
traj_0837,near_boundary,completed_normally,3.16,,0.20999999999999996,-0.010000000000000231,0.21921624418761,0.88,20.0
traj_0857,stall,completed_normally,3.06,0.31000000000000005,0.16000000000000014,0.010000000000000231,0.32148282670174655,3.19,20.0
traj_0872,stall,validity_envelope_gamma_exceeded,5.08,0.3799999999999999,0.21999999999999975,-0.33999999999999986,0.27226299371886564,5.98,13.53
traj_0881,stall,completed_normally,1.56,0.22999999999999998,0.1200000000000001,-0.15000000000000013,0.3297478798604764,4.6000000000000005,20.0
traj_0884,stall,completed_normally,2.74,0.31000000000000005,0.17000000000000037,-0.16000000000000014,0.2728298098403229,4.9,20.0
traj_0897,stall,validity_envelope_gamma_exceeded,4.21,0.3999999999999999,0.22999999999999998,-0.22999999999999998,0.28597050714802036,1.56,5.76
traj_0898,stall,validity_envelope_gamma_exceeded,3.97,0.9900000000000002,0.7400000000000002,-0.8700000000000001,0.21149491051483113,0.23,4.19
traj_0899,stall,completed_normally,6.98,0.40000000000000036,0.20000000000000018,-0.020000000000000462,0.2449639382864979,3.34,20.0
traj_0914,near_boundary,completed_normally,4.33,0.54,0.3099999999999996,-0.3099999999999996,0.20126360448775024,0.14,20.0
traj_0917,stall,validity_envelope_gamma_exceeded,5.98,0.3200000000000003,0.16999999999999993,-0.16999999999999993,0.2645419468961669,3.87,13.28
traj_0929,stall,completed_normally,2.19,0.30999999999999983,0.17999999999999972,-0.30999999999999983,0.25115632225029766,2.7800000000000002,20.0
traj_0947,stall,validity_envelope_gamma_exceeded,6.48,0.35000000000000053,0.20999999999999996,-0.4400000000000004,0.2422937151192729,4.16,12.15
traj_0953,stall,validity_envelope_gamma_exceeded,2.0300000000000002,0.27000000000000024,0.13000000000000012,-0.07000000000000028,0.30299768656932846,2.39,7.4
traj_0954,near_boundary,completed_normally,2.83,0.4900000000000002,0.20999999999999996,-0.10000000000000009,0.20518514449031322,0.37,20.0
traj_0977,near_boundary,completed_normally,5.84,0.5099999999999998,0.22999999999999954,-0.16999999999999993,0.19146068829952384,0.43,20.0
traj_0988,stall,validity_envelope_gamma_exceeded,3.93,0.5800000000000001,0.3999999999999999,-0.71,0.2197059697268011,0.73,4.65
traj_0991,near_boundary,completed_normally,4.78,0.4299999999999997,0.20999999999999996,-0.27000000000000046,0.19516833143515927,0.5,20.0
