trajectory_id,time,V,alpha,theta,gamma,altitude,pitch_rate,vertical_speed,thrust,elevator,throttle,dV_dt,dalpha_dt,stall_margin,is_unsafe,future_stall_5s,future_stall_5s_available,time_r
traj_0012,12.51,77.31264808465126,-0.03156890557990133,-0.2683870186994117,-0.23681811311951034,1630.4662111161776,-0.11833607761752983,-18.138377639263275,1298.278841907351,-0.031773181165307814,0.49933801611821194,1.992350884269456,-0.008792142959782034,0.3120090034991503,False,0.0,True,12.51
traj_0014,14.63,37.36000039252053,0.11474378216935978,0.11278233999283696,-0.001961442176522816,529.5810058859623,0.0007329253071224161,-0.07327943349732814,836.6414123571293,0.03600035776623631,0.3217851585988959,0.01730196935625372,-7.565242790413818e-05,0.1656963157498892,False,0.0,True,14.63
traj_0018,7.8,56.3280338604949,0.024759064308890535,0.13870390156450804,0.1139448372556175,1577.4237487021915,-0.013174604416636536,6.404409101874879,1275.7329548832226,0.005174771117313623,0.4906665211089318,-0.9238187928822583,0.0013632923962531018,0.25568103361035843,False,0.0,True,7.8
traj_0019,12.040000000000001,36.34398357561323,0.12162887731574835,0.09904700597585793,-0.022581871339890425,1087.537380276765,-0.0022189935977289664,-0.8206454101556001,658.2947385878991,0.03760637214645899,0.2531902840722689,0.07409701489109466,-0.0003082415677785333,0.1588112206035006,False,0.0,True,12.04
traj_0020,0.13,74.347107028355,0.002134854848272123,0.0021348548482912236,1.910067561954102e-14,1388.2839828933345,8.391085779808691e-15,1.420079974599907e-12,1649.3398072907519,0.0006671421400908828,0.6343614643425969,0.0,-1.1184629611360464e-13,0.2783052430709768,False,,False,0.13
traj_0023,2.75,36.39485072306254,0.12522023706354513,0.12565851144614743,0.00043827438260229284,1113.2253198818244,0.035855862654674345,0.015950930219898598,840.5132139840505,0.054956321695776245,0.32327431307078863,-0.019878485975510785,0.029368630016651798,0.15521986085570383,False,0.0,True,2.75
traj_0024,13.85,40.490128018174936,0.09409748737872103,0.08722993333069722,-0.006867554048023822,634.8200423455546,0.0026767255027623786,-0.2780659568129011,859.7722475926474,0.029934670290415282,0.3306816336894798,0.07903703459675171,-0.0002703362559530742,0.18634261054052792,False,0.0,True,13.85
traj_0025,19.46,83.58094267344562,-0.0015008525975891487,-0.038742511653719676,-0.03724165905613053,1718.3001786433624,0.012779521581728345,-3.1119735001913877,1516.7792196982398,0.0019249611161302946,0.5833766229608615,-0.0795725469757258,4.584392729115039e-05,0.2819409505168381,False,,False,19.46
traj_0026,13.96,43.57779929584248,0.07982280208003145,0.10702818247822789,0.02720538039819644,695.3377125072268,0.01003919501434408,1.1854043680384974,842.9123726357628,0.026777633669175446,0.3241970663983703,-0.3013411760868223,0.0007914358765528928,0.2006172958392175,False,0.0,True,13.96
traj_0028,8.370000000000001,42.72487466621576,0.0553141724133568,-0.1006570621966167,-0.1559712346099735,793.1396890978152,-0.09855959677848854,-6.636865680733808,836.599736304432,0.000374295138574475,0.32176912934785845,1.6183159604530317,-0.053111951621501174,0.22512592550589217,False,0.0,True,8.37
traj_0030,5.14,72.78472134620002,0.004480150524006146,-0.09038189725081924,-0.09486204777482539,1991.1647831650055,0.003140370249482729,-6.894156981931569,1535.43382349688,0.0017310415598448244,0.5905514705757231,0.8805060678696464,0.0003976528735002982,0.2759599473952428,False,0.0,True,5.14
traj_0032,17.13,71.68204276733651,0.0052103588843479525,0.006647467255423978,0.0014371083710760248,1544.2360357947814,0.00045784023454018523,0.10301482825767488,1537.215115870107,0.0017128439313295464,0.5912365830269642,-0.025176234204593584,1.9092249295155767e-05,0.275229739034901,False,,False,17.13
traj_0033,14.040000000000001,78.6030186133352,0.004996989727471715,-0.06450952418693827,-0.06950651391440998,1447.856330540657,0.025174685044067894,-5.459023762781385,1214.7337022730223,0.0062887715088606085,0.4672052701050086,0.14244092258905994,-7.15012388755043e-05,0.27544310819177725,False,0.0,True,14.04
traj_0034,19.62,63.28655590094413,0.01695056048285375,0.017256815068469263,0.00030625458561551403,1823.585262741995,0.00025335590551414005,0.01938179764950086,1265.0822934897005,0.005344115854406464,0.48657011288065405,-0.006913651085938,7.064047142374408e-06,0.2634895374363952,False,,False,19.62
traj_0035,10.71,50.67157834230154,0.055398925334597074,-0.11546893756742364,-0.17086786290202072,1190.294562473486,0.02063412341493568,-8.616075479993997,708.5907174099647,0.021377721653011543,0.27253489131152486,1.4164423184141128,-0.002721812728057049,0.2250411725846519,False,0.0,True,10.71
traj_0036,9.48,76.2010947138379,0.0028021369629747384,-0.1530353633126823,-0.15583750027565704,1509.3411618859789,0.009534232508096131,-11.826981787444991,1445.9900209904474,0.002721503702037111,0.556150008073249,1.2810178815300333,-0.0008410711916928548,0.27763796095627424,False,0.0,True,9.48
traj_0037,13.09,64.1713474671298,0.02706247564591541,-0.026755103847548433,-0.053817579493463844,1809.6748155377747,0.03428342442541645,-3.4518797320828623,951.070762258407,0.014903065990751783,0.3657964470224642,0.17838725292449453,-0.00019199227206320724,0.25337762227333355,False,0.0,True,13.09
traj_0038,11.13,27.53191385799075,0.20865700255871028,0.061080083664003956,-0.1475769188947063,1953.5932182733927,-0.03897661643622747,-4.0483428209374965,937.9417530700154,0.058690364534346624,0.36074682810385206,1.4741797535187118,-0.012120483377256464,0.07178309536053867,False,0.0,True,11.13
traj_0039,12.96,38.345334744711394,0.07007127151175672,0.0876012903535339,0.01753001884177717,623.4294807249665,-0.06664458639461275,0.6721600133645896,1087.6144597826221,0.009373406028073903,0.41831325376254697,0.19694772150486983,-0.00010234906396150434,0.21036882640749222,False,0.0,True,12.96
traj_0040,1.22,51.724141357055316,0.04326728329384185,0.043274278269633475,6.9949757916225115e-06,1101.477294980176,2.686424491767234e-06,0.00036180911663211216,1054.0903342054703,0.013523169468339693,0.4054193593097963,0.062058507594997536,-7.627150371142255e-05,0.2371728146254071,False,0.0,True,1.22
traj_0041,16.98,34.517238651305476,0.1495208922309084,0.1548736186661814,0.005352726435273005,907.030425295679,0.01868696104062142,0.1847604535156133,887.2762253734074,0.05022485824996371,0.3412600866820798,-0.08431000663264854,0.0002464318410777544,0.13091920568834056,False,,False,16.98
traj_0042,15.35,87.72440723596044,0.0005181497588785944,-0.18684160343455314,-0.18735975319343173,1459.369474425016,0.0389965596116563,-16.340031118569616,1158.8009879364422,0.007499515260560198,0.4456926876678624,0.8921415808160305,-0.00034262455514411094,0.27992194816037036,False,,False,15.35
traj_0043,4.94,48.398645053286764,0.05396045636843695,0.05221745148335156,-0.00174300488508539,1076.6773616218857,-0.0010196134720294014,-0.08435903204465928,729.5664753931211,0.016651131287118898,0.2806024905358158,-0.13743039394285006,0.00029746876997471805,0.22647964155081202,False,0.0,True,4.94
traj_0044,12.88,35.38648556442897,0.08188003778093823,0.18101140822286899,0.09913137044193075,1497.3328602481442,-0.07757201695180367,3.502168241492682,1044.8200995926102,0.010750985648615662,0.4018538844586962,-0.5988869706641253,0.0037001886688120544,0.19856006013831073,False,0.0,True,12.88
traj_0045,11.51,57.84220775522442,0.02732616819696854,0.02486497703254785,-0.00246119116442069,1553.1739937779064,-0.0002636530225445953,-0.14236058693366963,1306.5845880799257,0.008505052467848398,0.5025325338768944,0.1822342055227466,-0.00024405759507899194,0.2531139297222804,False,0.0,True,11.51
traj_0046,8.53,45.79826223896,0.06433545793568973,0.23828039173760202,0.17394493380191228,1891.8605180911488,-0.027015618633351057,7.92626353242365,949.9468531815173,0.014967403073805082,0.3653641743005836,-1.638649677750692,-0.029420956174111557,0.21610463998355922,False,0.0,True,8.53
traj_0048,14.6,59.47765771872664,0.02387631836537693,0.021603319971193753,-0.0022729983941831757,1386.4681274781117,-0.00011667732533543307,-0.13519250407187106,1161.2875874476551,0.007441441742573527,0.44664907209525195,0.023524993919465942,-2.9526814604094453e-05,0.256563779553872,False,0.0,True,14.6
traj_0049,1.6500000000000001,55.537145691591185,0.032747575032360816,0.032747575032215454,-1.4536587019334333e-13,1524.2111331033784,-7.700100940207226e-14,-8.073205511512642e-12,1060.0631251979603,0.010233617197598454,0.4077165866146001,1.4210854715202004e-12,-2.0816681711721685e-15,0.24769252288688814,False,0.0,True,1.65
traj_0050,0.77,43.58508207412234,0.07530026192697808,0.07530026192721687,2.387745145042017e-13,1938.640202374369,2.2089367314684546e-13,1.0407006811874346e-11,857.4350087909402,0.023531331852226754,0.3297826956888231,-1.4210854715202004e-12,-5.551115123125783e-15,0.20513983599227087,False,0.0,True,0.77
traj_0051,9.8,60.39948423724099,0.02191239858102232,0.019297245504258338,-0.0026151530767639826,1824.2752144463684,-0.0005085850778881809,-0.1579537169962487,1192.151476419607,0.006754750293434573,0.45851979862292574,0.03213348579009789,-3.814622889508623e-05,0.2585276993382266,False,0.0,True,9.8
traj_0053,4.59,72.29009892033547,-0.0978534599840375,-0.16835021086709037,-0.07049675088305288,1375.1683117287453,-0.583405859738258,-5.091996953968625,1567.7816566804404,-0.150549111986143,0.6029929448770924,0.531512940173684,-0.23794144523279354,0.37829355790328645,False,0.0,True,4.59
traj_0055,0.97,54.56257716868988,0.03522896529827651,0.035228965297944066,-3.3244082987959065e-13,1080.452045575617,-2.7379366276691674e-13,-1.8138828434328468e-11,1037.5625780475332,0.011009051655658684,0.39906253001828196,2.1316282072803006e-12,-1.457167719820518e-14,0.24521113262097244,False,0.0,True,0.97
traj_0056,17.13,47.95987150551013,0.06221306924773083,0.07142574865141837,0.009212679403687543,1396.1481508197157,0.013874566502684621,0.4418326703823821,867.2039457041958,0.022026966169440727,0.3335399791169984,-0.15767198596776666,0.00030102499005008054,0.2182270286715181,False,,False,17.13
traj_0058,17.900000000000002,87.36908254535624,0.0030210847552546716,-0.13567478096767613,-0.1386958657229308,706.0352913790757,0.04727412343888848,-12.078917350331931,1073.0558699207832,0.009816739018889343,0.4127137961233781,0.3487450991258356,-8.473667442721045e-05,0.2774190131639943,False,,False,17.9
traj_0059,4.47,62.486757664210515,0.014970526231063763,-0.2022930332104168,-0.21726355944148057,967.8163123968588,0.014383822691212404,-13.46954075363594,1077.667732037223,0.007480280667371974,0.4144875892450858,1.990883071026417,0.02042391730424642,0.2654695716881852,False,0.0,True,4.47
traj_0060,3.2800000000000002,48.35387444767961,0.06438097058330866,-0.40913667664896786,-0.4735176472322765,1161.8639390215546,0.047368070404954346,-22.050319303211083,845.9171496735944,0.02593264483607835,0.3253527498744594,4.36584299952969,0.0037640201590805056,0.2160591273359403,False,0.0,True,3.28
traj_0061,5.44,67.19753967195717,0.006410936513997378,-0.5855168879752466,-0.591927824489244,513.0880740144419,0.043062418020943224,-37.493666631904226,1209.6826048353566,0.006390530335070444,0.46526254032129105,5.3430281479052155,0.0328887787982457,0.2740291614052516,False,0.0,True,5.44
traj_0062,10.78,34.47616816508189,0.10519700284511836,-0.11784700798412372,-0.22304401082924208,1990.2130641877895,-0.0609546835442837,-7.626102535471287,866.1534493850266,0.022173935587087433,0.3331359420711641,2.333742173991027,-0.011096510624783451,0.1752430950741306,False,0.0,True,10.78
traj_0063,8.620000000000001,48.88910009352291,0.019173279962093392,-0.18697997545541117,-0.20615325541750457,1038.9912983537677,-0.07490973650461447,-10.007409669825334,836.0194188039959,-0.00752522295835175,0.3215459303092292,2.0634347898401018,-0.0034735038851346767,0.26126681795715556,False,0.0,True,8.62
