trajectory_id,regime,cross_sign,termination_reason,corrected_precursor_s,t_8_to_16_s,t_12_to_16_s,classification,max_alpha_deg,gamma_at_cross_deg,max_gamma_pre_cross_deg
traj_02090,gradual_approach_v3,1.0,completed_normally,5.029999999999999,5.01,0.5599999999999987,gradual_monotonic_low_gamma,24.23359083328684,14.016307130853718,17.781351244671477
traj_02104,gradual_approach_v3,1.0,completed_normally,,,0.53,gradual_monotonic_low_gamma,27.023113426281327,4.121354287489019,4.121354287489019
traj_02118,gradual_approach_v3,1.0,completed_normally,,,0.79,gradual_monotonic_low_gamma,23.747433156077875,9.522443366879946,9.522443366879946
traj_02119,gradual_approach_v3,1.0,completed_normally,4.09,4.059999999999999,1.4800000000000004,gradual_monotonic_low_gamma,16.924936439242728,12.312872631093514,28.43848670296241
traj_02121,gradual_approach_v3,1.0,completed_normally,,,0.6000000000000014,gradual_monotonic_low_gamma,26.26368323686224,15.040449497558882,18.142579645457673
traj_02127,gradual_approach_v3,1.0,completed_normally,4.23,4.21,0.5899999999999999,gradual_monotonic_low_gamma,25.365247500483065,19.298447572223985,19.952547542095406
traj_02135,gradual_approach_v3,1.0,completed_normally,4.74,4.720000000000001,0.5800000000000001,gradual_monotonic_low_gamma,26.961647867949562,14.334432850698402,17.621527907814325
traj_02144,gradual_approach_v3,1.0,completed_normally,,,1.3000000000000007,gradual_monotonic_low_gamma,25.938496249229935,9.053003066212929,9.053003066212929
traj_02152,gradual_approach_v3,1.0,completed_normally,,,0.8600000000000003,gradual_monotonic_low_gamma,26.101024782517126,10.416578390606533,10.416578390606533
traj_02154,gradual_approach_v3,1.0,completed_normally,,,0.8999999999999999,gradual_monotonic_low_gamma,30.489555333974305,4.4561174487786275,4.4561174487786275
traj_02158,gradual_approach_v3,1.0,completed_normally,4.77,4.75,0.46000000000000085,gradual_monotonic_low_gamma,26.150313572675707,19.880503261496386,26.466016808498743
traj_02160,gradual_approach_v3,1.0,completed_normally,1.2299999999999995,1.21,0.5700000000000003,gradual_monotonic_low_gamma,17.088179734845944,28.93029428702251,34.86289554672264
traj_02169,gradual_approach_v3,1.0,completed_normally,5.140000000000001,5.120000000000001,0.8399999999999999,gradual_monotonic_low_gamma,21.61568180836138,12.949234740073765,17.878520403027178
traj_02171,gradual_approach_v3,1.0,completed_normally,,,0.8,gradual_monotonic_low_gamma,33.52328815907463,7.4977143447905075,7.4977143447905075
traj_02179,gradual_approach_v3,1.0,completed_normally,4.969999999999999,4.9399999999999995,0.7400000000000002,gradual_monotonic_low_gamma,20.99173084547168,15.625048247534794,20.783357395059628
traj_02187,gradual_approach_v3,1.0,completed_normally,5.160000000000001,5.14,0.8299999999999992,gradual_monotonic_low_gamma,20.13806020127195,13.160809809044903,13.346286530320416
traj_02188,gradual_approach_v3,1.0,completed_normally,4.6899999999999995,4.67,0.6600000000000001,gradual_monotonic_low_gamma,21.145907540983238,15.584255954303446,16.807736651446767
traj_02195,gradual_approach_v3,1.0,completed_normally,1.6600000000000001,1.6100000000000012,0.8600000000000012,gradual_monotonic_low_gamma,16.101730083029587,24.863673284399074,24.863673284399074
traj_02201,gradual_approach_v3,1.0,completed_normally,4.97,4.95,0.7199999999999998,gradual_monotonic_low_gamma,18.53805368935604,16.841932179187946,22.958711395095584
traj_02224,gradual_approach_v3,1.0,completed_normally,4.659999999999999,4.64,0.5199999999999996,gradual_monotonic_low_gamma,29.794332141487793,17.69419476088987,21.38804188370296
